,Artist,Name,Genre,Unnamed: 0,Weekly_rank_avg,Peak_Position,Weeks_on_Chart
97,DRAKE,OMERTA,"HIP-HOP,BASKETBALL,NBA,CANADA,RAP",0.015022456249032059,1.0,0.346938775510204,0.0
98,MARTIN GARRIX,SUMMER DAYS,"ELECTRONIC POP,ELECTRO,ELECTRO HOUSE,NEDERLAND,ELECTRONIC,ELECTRO-POP,RAP,ELECTRONIC TRAP,TROPICAL HOUSE,DANCE-POP,POP",0.015177326932011771,0.7360248447204969,0.3836734693877551,0.13176470588235295
99,BILLIE EILISH,WHEN THE PARTY'S OVER,"R&;B,AMBIENT,ART POP,INDIE POP,BALLAD,POP",0.015332197614991482,0.6304347826086957,0.2857142857142857,0.3529411764705882
100,CALBOY,ENVY ME,RAP,0.015487068297971194,0.06024844720496895,0.3061224489795918,0.2941176470588235
101,KELSEA BALLERINI,MISS ME MORE,COUNTRY,0.015641938980950905,0.575125702454895,0.4693877551020408,0.21176470588235294
102,DREAMVILLE,DOWN BAD,"EAST COAST,ATLANTA,RAP",0.015796809663930617,0.8926501035196688,0.23265306122448978,0.3105882352941176
103,JOJI,SANCTUARY,"SYNTH-POP,ALTERNATIVE R&;B,POP,BALLAD,ELECTRONIC",0.01595168034691033,0.7175465838509317,0.346938775510204,0.17176470588235296
104,MARSHMELLO,RESCUE ME,"EDM,POP-PUNK,ELECTRONIC,POP",0.016106551029890042,0.6450549450549451,0.4795918367346938,0.12941176470588237
105,"NICKY JAM, OZUNA",TE ROBARE,"REGGAETON,PUERTO RICO,LATIN URBAN,LATIN MUSIC,LATIN POP,EN ESPA\XC3\XB1OL,POP",0.016261421712869754,0.8416149068322982,0.9183673469387754,0.047058823529411764
106,JUICE WRLD,ROBBERY,"TRAP,EMO RAP,EMO,RAP",0.016416292395849467,0.6480331262939959,0.26530612244897955,0.18823529411764706
107,NIPSEY HUSSLE,RACKS IN THE MIDDLE,RAP,0.01657116307882918,0.9366459627329193,0.2551020408163265,0.10588235294117646
108,LUKE COMBS,BEAUTIFUL CRAZY,COUNTRY,0.016726033761808888,0.5998692383131743,0.2040816326530612,0.3411764705882353
109,LIL BABY,CLOSE FRIENDS,"ATLANTA,MOTOWN,TRAP,RAP",0.0168809044447886,0.2282743721307049,0.2755102040816326,0.3647058823529412
110,BILLIE EILISH,BURY A FRIEND,"TRAP,ALTERNATIVE,DARK POP,INDUSTRIAL,ALTERNATIVE POP,ELECTRONICA,POP",0.017035775127768313,0.7036438923395446,0.13265306122448978,0.21176470588235294
111,LUKE COMBS,EVEN THOUGH I'M LEAVING,COUNTRY,0.017190645810748025,0.831055900621118,0.673469387755102,0.13647058823529412
112,YO GOTTI,PUT A DATE ON IT,RAP,0.017345516493727738,0.8838509316770187,0.4591836734693877,0.21176470588235294
113,AVICII,HEAVEN,"ELECTRO,EDM,ELECTRO-POP,DANCE,DANCE-POP,ELECTRONIC,SCANDIPOP,SCANDINAVIA,SVERIGE,POP",0.01750038717670745,0.19935187685660277,0.4183673469387754,0.18117647058823527
114,FUTURE,PLEASE TELL ME,"R&;B,TRAP,ATLANTA,RAP",0.017655257859687162,0.8944099378881988,0.23265306122448978,0.3105882352941176
115,CODY JOHNSON,ON MY WAY TO YOU,COUNTRY,0.017810128542666875,0.34756456358287025,0.7857142857142856,0.16470588235294117
116,OZUNA,AMOR GENUINO,"LATIN POP,EN ESPA\XC3\XB1OL,POP,PUERTO RICO,LATIN MUSIC",0.017964999225646587,0.4345652173913044,0.42857142857142855,0.11058823529411765
117,FUTURE,XANAX DAMAGE,"ALTERNATIVE R&;B,R&;B,ATLANTA,RAP",0.018119869908626296,0.5315640880858272,0.2857142857142857,0.15058823529411763
118,FUTURE,GOVERNMENT OFFICIAL,"ATLANTA,TRAP,RAP",0.01827474059160601,0.34622153209109735,0.45510204081632644,0.13882352941176473
119,MILEY CYRUS,MOTHER'S DAUGHTER,"R&;B,LGBTQ+,FEMINISM,POP",0.01842961127458572,0.5649689440993789,0.5163265306122449,0.12470588235294118
120,YNW MELLY,MURDER ON MY MIND,"HIP-HOP,RAP",0.018584481957565433,0.9683229813664598,0.13265306122448978,0.21176470588235294
121,NF,THE SEARCH,"HIP-HOP,CONSCIOUS HIP-HOP,RAP",0.018739352640545145,0.3498088867654085,0.45510204081632644,0.13882352941176473
122,JOYNER LUCAS,ISIS,"TRAP,HIP-HOP,EAST COAST,DMV,RAP",0.018894223323524858,0.16953416149068326,0.5918367346938775,0.0
123,LOGIC,HOMICIDE,"TRAP,HIP-HOP,DMV,RAP",0.01904909400650457,0.48515742128935535,0.04081632653061224,0.03529411764705882
124,TRIPPIE REDD,UNDER ENEMY ARMS,RAP,0.01920396468948428,0.5121739130434783,0.2346938775510204,0.15058823529411763
125,JON PARDI,NIGHT SHIFT,COUNTRY,0.01935883537246399,0.7870600414078675,0.5612244897959183,0.16470588235294117
126,21 SAVAGE,A LOT,"EAST COAST,TRAP,RAP",0.019513706055443704,0.2540062111801243,0.11224489795918367,0.24705882352941175
127,BLUEFACE,THOTIANA,"TRAP,HIP-HOP,WEST COAST,EAST COAST,REMIX,RAP",0.019668576738423416,0.7069875776397516,0.07142857142857142,0.21176470588235294
128,DJ KHALED,HIGHER,"NEO SOUL,WEST COAST,RAP",0.01982344742140313,0.7313319530710836,0.2040816326530612,0.0
