,Artist,Name,Weekly_rank_avg,Peak_Position,Weeks_on_Chart,Week,Date,Genre,Features
1936,Cashmere Cat,Adore,69.0,,,2015-03-20,"March 3, 2015","R&;B,Electronic,Pop",Ariana Grande
1937,Fifth Harmony,Sledgehammer,68.0,40.0,15.0,2015-03-20,"October 28, 2014","Electro-Pop,Electronic,Synth-Pop,Pop",
1938,B.o.B,Not For Long,50.05882352941177,80.0,9.0,2015-03-20,"October 14, 2014","R&;B,Rap",Trey Songz
1939,"Common, John Legend",Glory,53.4,49.0,3.0,2015-03-13,"December 11, 2014","Civil Rights,Screen,Rap,R&;B",
1940,"Jessie J, Ariana Grande, Nicki Minaj",Bang Bang,86.0,3.0,31.0,2015-03-13,"July 29, 2014","UK,Pop,Rap",
1941,Kid Rock,First Kiss,88.5,,,2015-03-13,"February 24, 2015",Rock,
1942,The Weeknd,Often,57.0,59.0,20.0,2015-03-13,"June 24, 2014","Canada,Pop,R&;B,Producer",
1943,Big Sean,All Your Fault,47.333333333333336,,,2015-03-13,"February 24, 2015",Rap,Kanye West
1944,Taylor Swift,You Are In Love,71.45,,,2015-03-13,"February 24, 2015",Pop,
1945,Prince Royce,Stuck On A Feeling,75.52631578947368,43.0,10.0,2015-03-13,,R&;B,Snoop Dogg
1946,Kanye West,Only One,91.15789473684211,35.0,8.0,2015-03-13,"December 31, 2014","Screen,Soul,Pop,Producer,R&;B",Paul McCartney
1947,Drake,No Tellin',32.88461538461539,81.0,2.0,2015-03-13,"February 13, 2015","Trap,Canada,Rap",
1948,I LOVE MAKONNEN,Tuesday,72.4,12.0,22.0,2015-03-06,"August 12, 2014","Bedroom Pop,Hip-Hop,R&;B,Trap,Rap",Drake
1949,Tove Lo,Habits,35.696969696969695,3.0,39.0,2015-03-06,"March 15, 2013","Electro-Pop,Synth-Pop,Pop",
1950,Taylor Swift,Wonderland,98.0,,,2015-03-06,"February 17, 2015","Electro-Pop,Synth-Pop,Dance-Pop,Pop",
1951,Drake,6 God,48.833333333333336,,,2015-03-06,"October 25, 2014","Alternative R&;B,Producer,Trap,Canada,Rap",
1952,Drake,Used To,52.35,84.0,2.0,2015-03-06,"February 13, 2015","Trap,Canada,Rap",Lil Wayne
1953,Chase Bryant,Take It On Back,17.022222222222222,82.0,8.0,2015-03-06,,Country,
1954,Florence + The Machine,What Kind Of Man,37.65,88.0,2.0,2015-03-06,"February 12, 2015","Alternative Rock,UK,Pop,Rock",
1955,Imagine Dragons,Shots,55.4,75.0,3.0,2015-03-06,"January 26, 2015","Indie Pop,Indie,Adult Alternative,Alternative Dance,Synth Rock,Indie Rock,Alternative Pop,Alternative,Alternative Rock,Pop-Rock,Pop,New Wave,Synth-Pop,Dance,Rock",
1956,Wale,The Body,86.375,87.0,6.0,2015-03-06,"September 6, 2014","R&;B,Rap",Jeremih
1957,Drake,Now & Forever,84.23076923076923,,,2015-03-06,"February 13, 2015","R&;B,Canada,Rap",
1958,Drake,6 Man,34.46875,,,2015-03-06,"February 13, 2015","Trap,Canada,Rap",
1959,Alesso,Heroes,99.0,31.0,20.0,2015-02-27,"August 25, 2014","Electronic,Pop",Tove Lo
1960,Carrie Underwood,Something In The Water,24.44736842105263,24.0,20.0,2015-02-27,"September 29, 2014","Christian,Country",
1961,Tim McGraw,Shotgun Rider,23.394736842105264,38.0,20.0,2015-02-27,"September 1, 2014","Country,Rock",
1962,The Weeknd,Where You Belong,23.79310344827586,,,2015-02-27,"February 24, 2015","Canada,Soundtrack,Screen,R&;B",
1963,Annie Lennox,I Put A Spell On You,91.45454545454545,,,2015-02-27,"September 15, 2014","Cover,Soundtrack,Screen,Pop",
1964,Empire Cast,Keep Your Money,76.72222222222223,,,2015-02-27,"February 3, 2015","Screen,R&;B",Jussie Smollett
1965,"Missy ""Misdemeanor"" Elliott",Work It,91.0,2.0,26.0,2015-02-20,"September 1, 2002","Hip-Hop,Rap",
1966,"Missy ""Misdemeanor"" Elliott",Get Ur Freak On,73.89473684210526,7.0,25.0,2015-02-20,"March 6, 2001","Dance-Pop,Dance,Hip-Hop,Alternative,Rap",
1967,Kid Ink,Body Language,80.0,72.0,18.0,2015-02-20,"September 9, 2014","R&;B,Rap","Usher, Tinashe"
1968,Fergie,L.A.LOVE,82.0,27.0,18.0,2015-02-20,"October 23, 2014","R&;B,Pop,Rap",
1969,Shawn Mendes,A Little Too Much,71.5,,,2015-02-20,"April 14, 2015",Pop,
1970,RaeLynn,God Made Girls,88.0,61.0,16.0,2015-02-20,"June 30, 2014",Country,
1971,Kid Ink,Hotel,70.0,,,2015-02-20,"January 9, 2015","R&;B,Rap",Chris Brown
1972,A,Out The Speakers,91.0,,,2015-02-20,,Pop,
1973,G,I Mean It,77.0,98.0,4.0,2015-02-20,"May 13, 2014","West Coast,Rap",
1974,MAGIC!,Rude,43.2,1.0,41.0,2015-02-13,"October 11, 2013","Canada,Reggae,Pop",
1975,Hoodie Allen,All About It,92.4,71.0,4.0,2015-02-13,"October 14, 2014","UK,Rap",Ed Sheeran
1976,Kenny Chesney,Til It's Gone,84.5,60.0,14.0,2015-02-13,"October 13, 2014",Country,
1977,Becky G,Can't Stop Dancin',93.0,88.0,3.0,2015-02-13,"October 17, 2014","Pop,R&;B",
1978,Brad Paisley,Perfect Storm,67.0,52.0,17.0,2015-02-13,"August 5, 2014",Country,
1979,One Direction,Steal My Girl,62.0,13.0,18.0,2015-02-13,"September 29, 2014","Boy Band,UK,Pop",
1980,Jeremih,Don't Tell 'Em,60.7,6.0,31.0,2015-02-06,"June 6, 2014","Fashion,R&;B,Rap",YG
1981,Iggy Azalea,Black Widow,97.66666666666667,3.0,30.0,2015-02-06,"July 8, 2014","Australia,UK,Pop,Rap",Rita Ora
1982,Calvin Harris,Blame,45.0,19.0,20.0,2015-02-06,"September 7, 2014","Electronic,UK,Pop",John Newman
1983,Bobby Shmurda,Hot Boy,84.33333333333333,6.0,25.0,2015-01-30,"January 14, 2015","Deutscher Rap,Deutschland,Rap",
1984,DJ Khaled,Hold You Down,99.5,39.0,20.0,2015-01-30,"August 3, 2014","R&;B,Rap","Chris Brown, August Alsina, Future, Jeremih"
1985,August Alsina,No Love,67.0,69.0,18.0,2015-01-30,"July 21, 2014","Soul,Remix,R&;B,Rap",
1986,Milky Chance,Stolen Dance,37.52,39.0,25.0,2015-01-23,"May 9, 2014","Alternative,Adult Alternative,Pop,Indie,Psychedelic,Electronic,Folk,Indie Pop",
