,Artist,Name,Peak_Position,Weeks_on_Chart,Week,Date,Genre,Features
682,Billie Eilish,You Should See Me In A Crown,41.0,8.0,2019-05-25,"July 18, 2018","Indie,Hip-Hop,Dark Pop,Alternative Pop,Alternative,Electro-Pop,Trap,Dream-Pop,Indie Pop,Pop",
684,Avicii,SOS,68.0,4.0,2019-05-25,"April 10, 2019","Electro,Electronic,Electro-Pop,Dance-Pop,Dance,Scandipop,Scandinavia,West Coast,EDM,Sverige,Pop",Aloe Blacc
686,Billie Eilish,Wish You Were Gay,31.0,11.0,2019-05-25,"March 4, 2019","Indie,Indie Pop,Alternative,Alternative Pop,Pop",
687,Lil Uzi Vert,That's A Rack,76.0,5.0,2019-05-25,"April 9, 2019","East Coast,Trap,Rap",
688,2 Chainz,Rule The World,94.0,2.0,2019-05-25,"March 1, 2019","R&;B,Rap",Ariana Grande
689,Roddy Ricch,Die Young,99.0,2.0,2019-05-25,"July 3, 2018","R&;B,Trap,Rap",
733,"Ellie Goulding, Diplo",Close To Me,24.0,25.0,2019-05-18,"October 24, 2018","Electronic Trap,Dance-Pop,Trap,Electronic,Dance,Electro,Electro-Pop,Rap,Pop",Swae Lee
735,Lauren Daigle,You Say,29.0,43.0,2019-05-18,"July 13, 2018","Worship,Christian Pop,Pop,Christian",
752,A Boogie Wit da Hoodie,Swervin,38.0,20.0,2019-05-18,"December 21, 2018","Trap,Rap",6ix9ine
779,"SZA, The Weeknd, Travis Scott",Power Is Power,90.0,2.0,2019-05-18,"April 18, 2019","Hip-Hop,Canada,Soundtrack,Rap,Pop",
784,"Lil Peep, iLoveMakonnen",I've Been Waiting,62.0,9.0,2019-05-18,"January 31, 2019","Hip-Hop,Alternative,Alternative Rock,Emo Rap,Emo,Rap",Fall Out Boy
786,"Anuel AA, Karol G",Secreto,68.0,11.0,2019-05-18,"January 15, 2019","Puerto Rico,Pop,Reggaeton,En Espa\xc3\xb1ol,Latin Music,Latin Urban",
789,Ski Mask The Slump God,Faucet Failure,87.0,11.0,2019-05-18,"November 30, 2018","Hip-Hop,Afro Trap,Trap,Rap",
838,5 Seconds Of Summer,Youngblood,7.0,48.0,2019-05-11,"April 12, 2018","New Wave,Pop,Synth-Pop,Electro-Pop,Alternative Pop,Australia,Pop-Rock,Rock",
855,ScHoolboy Q,Floating,,,2019-05-11,"April 26, 2019","Rap,Gangsta Rap,Hip-Hop,Trap,West Coast",21 Savage
873,ScHoolboy Q + Travis Scott,CHopstix,,,2019-05-11,"April 8, 2019","Rap,Hip-Hop,West Coast,Trap",
878,"Marshmello, Tyga, Chris Brown",Light It Up,,,2019-05-11,"April 25, 2019","R&;B,West Coast,Electro House,Electro,Electronic,Rap",
883,ScHoolboy Q,Numb Numb Juice,55.0,2.0,2019-05-11,"March 14, 2019","Rap,Gangsta Rap,Hip-Hop,Trap,West Coast",
884,P!nk,Love Me Anyway,,,2019-05-11,"April 26, 2019",Pop,Chris Stapleton
887,BLACKPINK,Kill This Love,41.0,4.0,2019-05-11,"April 5, 2019","Trap,Dance,Rap,Girl Group,Pop,Korean,K-Pop (\xec\xbc\x80\xec\x9d\xb4\xed\x8c\x9d)",
928,Post Malone,Better Now,3.0,52.0,2019-05-04,"April 27, 2018","R&;B,Pop",
971,Imagine Dragons,Bad Liar,56.0,9.0,2019-05-04,"November 6, 2018","Rock,Adult Alternative,Ballad,Alternative Rock,Alternative,Pop-Rock,Indie Rock,Alternative Pop,Indie Pop,Pop",
976,French Montana,Slide,,,2019-05-04,"April 18, 2019","Trap,Hip-Hop,East Coast,West Coast,Rap","Blueface, Lil Tjay"
