,Artist,Name,Peak_Position,Weeks_on_Chart,Week,Date,Genre,Features
69274,Toby Keith,Honkytonk U,61.0,12.0,2005-05-11,"February 8, 2005","Country,Rock",
69286,Jennifer Lopez,Get Right,12.0,17.0,2005-05-11,"January 4, 2005","Pop,R&;B",
69292,Fat Joe,So Much More,81.0,5.0,2005-05-11,"March 29, 2005",Rap,
69383,Caesars,Jerk It Out,70.0,10.0,2005-05-04,"April 7, 2003","Memes,Rock,Indie Rock",
69427,Maroon 5,She Will Be Loved,5.0,41.0,2005-04-27,"June 25, 2002","Ballad,Adult Alternative,Adult Contemporary,Pop-Rock,Rock,Pop",
69431,Gavin DeGraw,I Don't Want To Be,10.0,28.0,2005-04-27,"July 22, 2003","Pop,Pop-Rock,Rock",
69442,Rascal Flatts,Bless The Broken Road,29.0,20.0,2005-04-27,"September 28, 2004","Soundtrack,Country,Rock",
69467,Martina McBride,God's Will,85.0,8.0,2005-04-27,"September 30, 2003",Country,
69468,Fantasia,Baby Mama,60.0,12.0,2005-04-27,"May 3, 2005",R&;B,
69474,Blaine Larsen,How Do You Get That Lonely,91.0,7.0,2005-04-27,"November 1, 2004",Pop,
69477,U2,Sometimes You Can't Make It On Your Own,97.0,3.0,2005-04-27,"November 22, 2004","Ireland,Rock",
69515,Snoop Dogg,Drop It Like It's Hot,1.0,30.0,2005-04-20,"September 12, 2004","West Coast,Memes,Producer,Rap",Pharrell
69519,Jesse McCartney,Beautiful Soul,16.0,20.0,2005-04-20,"August 12, 2004",Pop,
69526,Sugarland,Baby Girl,38.0,20.0,2005-04-20,"October 24, 2004","Country,Rock",
69535,Ryan Cabrera,True,18.0,20.0,2005-04-20,"November 16, 2004",Pop,
69556,Lenny Kravitz,Lady,27.0,20.0,2005-04-20,"November 23, 2004","Funk Rock,Hard Rock,Producer,Adult Alternative,Soul,Alternative Rock,Rock",
69565,R. Kelly,In The Kitchen,91.0,5.0,2005-04-20,"April 5, 2005","Soul,Soul Pop,Pop,R&;B",
69571,Lee Ann Womack,I May Hate Myself In The Morning,66.0,13.0,2005-04-20,"October 25, 2004",Pop,
69573,Queens Of The Stone Age,Little Sister,88.0,9.0,2005-04-20,"March 18, 2005","Stoner Rock,Hard Rock,Alternative Rock,Rock",
69613,T.I.,Bring Em Out,9.0,21.0,2005-04-13,"October 19, 2004",Rap,
69642,Brad Paisley,Mud On The Tires,30.0,20.0,2005-04-13,"September 13, 2004",Country,
69662,Keith Urban,You're My Better Half,33.0,20.0,2005-04-13,"October 25, 2004",Country,
69666,Britney Spears,Do Somethin',,,2005-04-13,"February 14, 2005","Electronic Rock,Dance-Pop,Pop",
69708,John Mayer,Daughters,19.0,23.0,2005-04-06,"September 28, 2004","Adult Alternative,Blues,Pop,Ballad,Singer-Songwriter,Pop-Rock,Adult Contemporary,Blues Rock,Acoustic,Rock",
69713,Goo Goo Dolls,Give A Little Bit,37.0,20.0,2005-04-06,"April 25, 2006",Rock,
69748,Billy Dean,Let Them Be Little,68.0,11.0,2005-04-06,,Pop,
69752,Eminem,Like Toy Soldiers,34.0,11.0,2005-04-06,"November 12, 2004","Hip-Hop,Conscious Hip-Hop,Rap",
69754,Stevie Wonder,So What The Fuss,,,2005-04-06,"October 18, 2005","Rock,Soul Pop,Soul,R&;B",
69822,Ben Folds,Bitches Ain't shit,,,2005-03-30,,"Cover,Parody,Comedy,Alternative Rock,Rock",
69844,Avril Lavigne,Nobody's Home,41.0,17.0,2005-03-30,"October 24, 2004","Pop,Pop-Rock,Canada,Rock",
69848,Good Charlotte,I Just Wanna Live,51.0,8.0,2005-03-30,"November 15, 2004",Rock,
69886,Nelly,Over And Over,3.0,24.0,2005-03-23,"October 12, 2004","Adult Contemporary,Pop Country,Country Rap,Hip-Hop,Pop,Country,Neo Soul,R&;B,Rap",Tim McGraw
69910,Daddy Yankee,Gasolina,32.0,20.0,2005-03-23,"July 13, 2004","Latin Urban,Hip-Hop,Rap,Puerto Rico,Latin Pop,En Espa\xc3\xb1ol,Latin Music,Reggaeton",
69931,Jamie O'Neal,Trying To Find Atlantis,86.0,4.0,2005-03-23,,Pop,
69932,50 Cent,Piggy Bank,,,2005-03-23,"March 3, 2005","Beef,Rap",
69938,Garbage,Why Do You Love Me,,,2005-03-23,"January 1, 2005","Alternative Rock,Rock",
69939,The Mars Volta,The Widow,95.0,2.0,2005-03-23,"March 1, 2005",Rock,
69940,Darryl Worley,"Awful, Beautiful Life",30.0,20.0,2005-03-23,,Pop,
69942,Ashanti,Only U,13.0,19.0,2005-03-23,"October 26, 2004","Pop-Rock,Soul,Pop,R&;B",
70022,Snoop Dogg,Let's Get Blown,54.0,11.0,2005-03-16,"November 16, 2004","West Coast,R&;B,Funk,Rap",
70028,Alan Jackson,Monday Morning Church,54.0,16.0,2005-03-16,"October 11, 2004",Country,
70034,My Chemical Romance,I'm Not Okay,86.0,6.0,2005-03-16,"June 8, 2004","Emo,Alternative,Alternative Rock,Pop-Punk,Rock",
70037,Nelly,N Dey Say,64.0,7.0,2005-03-16,"September 13, 2004","Hip-Hop,R&;B,Rap",
70084,Ciara,Goodies,1.0,38.0,2005-03-09,"June 8, 2004","R&;B,Rap",Petey Pablo
70106,Blake Shelton,Some Beach,28.0,20.0,2005-03-09,,"Country,Rock",
70124,"Lil Jon, The East Side Boyz",What U Gon' Do,22.0,19.0,2005-03-09,"October 6, 2004",Rap,Lil Scrappy
70128,Simple Plan,Welcome To My Life,40.0,18.0,2005-03-09,"September 14, 2004",Rock,
70129,Simple Plan,Shut Up,99.0,2.0,2005-03-09,"February 22, 2005",Rock,
70130,Ashlee Simpson,La La,86.0,5.0,2005-03-09,"November 9, 2004","Pop,Pop-Rock",
70207,Reba McEntire,He Gets That From Me,59.0,12.0,2005-03-02,"September 4, 2004",Country,
70218,Gwen Stefani,What You Waiting For?,47.0,20.0,2005-03-02,"September 28, 2004","Funk,Alternative Dance,New Wave,Electro-Pop,Pop-Rock,Pop",
70263,Destiny's Child,Lose My Breath,3.0,23.0,2005-02-23,"November 10, 2004","R&;B,Pop",
70296,Ben Folds,Landed,77.0,2.0,2005-02-23,,"Alternative Rock,Rock",
70297,Ja Rule,Wonderful,5.0,20.0,2005-02-23,"September 28, 2004",Rap,"R. Kelly, Ashanti"
70301,The Postal Service,We Will Become Silhouettes,,,2005-02-23,"February 8, 2005","Electronic,Indie Rock,Rock",
70304,"Eminem, Dr. Dre, 50 Cent",Encore,25.0,15.0,2005-02-23,"November 12, 2004",Rap,
70317,Tim McGraw,Back When,30.0,19.0,2005-02-23,"August 30, 2004","Country,Rock",
70393,Gretchen Wilson,When I Think About Cheatin',39.0,11.0,2005-02-16,,Pop,
70398,Ja Rule,New York,27.0,14.0,2005-02-16,"October 27, 2004","Hardcore Hip-Hop,Beef,Gangsta Rap,East Coast,Hip-Hop,Rap","Fat Joe, Jadakiss"
70407,Young Buck,Shorty Wanna Ride,17.0,19.0,2005-02-16,"August 26, 2004",Rap,
70408,Cam'Ron,Down And Out,,,2005-02-16,"December 7, 2004","Dipset,East Coast,Rap","Kanye West, Syleena Johnson"
70414,Rupee,Tempted To Touch,39.0,20.0,2005-02-16,"July 27, 2014","R&;B,Soca,Calypso,Dancehall,Reggae",
70459,Switchfoot,Dare You To Move,17.0,20.0,2005-02-09,"September 26, 2000","Christian Rock,Christian,Alternative,Alternative Rock,Rock",
70494,Jadakiss,U Make Me Wanna,21.0,13.0,2005-02-09,"October 12, 2004",Rap,Mariah Carey
70503,Eminem,Just Lose It,6.0,19.0,2005-02-09,"September 28, 2004","Hip-Hop,Beef,Memes,Rap",
70504,"Big, Rich",Holy Water,75.0,7.0,2005-02-09,"January 1, 2014",Country,
70582,Dierks Bentley,How Am I Doin',49.0,16.0,2005-02-02,"August 19, 2003","Country,Rock",
70584,Velvet Revolver,Fall To Pieces,67.0,20.0,2005-02-02,"June 8, 2004",Rock,
70585,Papa Roach,Getting Away With Murder,69.0,16.0,2005-02-02,"July 31, 2004","Alternative Rock,Rock",
70586,Kenny Chesney,The Woman With You,33.0,17.0,2005-02-02,"February 2, 2004","Country,Rock",
70587,Chevelle,Vitamin R,68.0,12.0,2005-02-02,"September 21, 2004",Rock,
70588,Chingy,Balla Baby,20.0,18.0,2005-02-02,,Rap,
70589,Keyshia Cole,I Changed My Mind,71.0,11.0,2005-02-02,"November 9, 2004","R&;B,Rap",Shyne
70590,"Monchy, Alexandra",Perdidos,92.0,7.0,2005-02-02,,"En Espa\xc3\xb1ol,Pop",
70592,Patti LaBelle,Gotta Go Solo,89.0,9.0,2005-02-02,,Pop,Ron Isley
70594,Guerilla Black,You're The One,77.0,11.0,2005-02-02,,Pop,Mario Winans
70595,Daryl Hall John Oates,I'll Be Around,97.0,3.0,2005-02-02,"October 26, 2004",Pop,
70596,Akon,Ghetto,92.0,5.0,2005-02-02,"June 29, 2004","R&;B,Rap",
70598,2Pac,Thugs Get Lonely Too,98.0,4.0,2005-02-02,"September 23, 2004","Remix,Gangsta Rap,West Coast,Rap",Nate Dogg
70637,Anthony Hamilton,Charlene,19.0,22.0,2005-01-26,"August 3, 2004","Ballad,Neo Soul,Soul,R&;B",
70645,Ryan Cabrera,On The Way Down,15.0,27.0,2005-01-26,"June 12, 2004",Pop,
70660,Gary Allan,Nothing On But The Radio,32.0,20.0,2005-01-26,,Pop,
70663,Lonestar,Mr. Mom,33.0,20.0,2005-01-26,"July 1, 2004",Country,
70690,Beyonce,Dangerously In Love,57.0,20.0,2005-01-26,"June 24, 2003","R&;B,Pop",
70724,N.O.R.E.,Oye Mi Canto,12.0,22.0,2005-01-19,"October 5, 2004","Puerto Rico,Hip-Hop,Latin Urban,Reggaeton,En Espa\xc3\xb1ol,Rap","Daddy Yankee, Nina Sky, Gem Star, Big Mato"
70736,Terror Squad,Lean Back,1.0,31.0,2005-01-19,,Rap,
70759,Bowling For Soup,1985,23.0,20.0,2005-01-19,"July 27, 2004","Pop-Punk,Rock",
70766,Breaking Benjamin,So Cold,76.0,20.0,2005-01-19,"March 30, 2004","Hard Rock,Post-Grunge,Alternative Metal,Rock",
70775,LL Cool J,Hush,26.0,18.0,2005-01-19,"February 15, 2005",Rap,7 Aurelius
70777,SHeDAISY,Come Home Soon,75.0,7.0,2005-01-19,,Pop,
70824,Avril Lavigne,My Happy Ending,9.0,25.0,2005-01-12,"May 19, 2004","Pop,Canada,Rock",
70846,The Killers,Somebody Told Me,51.0,20.0,2005-01-12,"March 15, 2004","Post-Punk Revival,New Wave,Rock",
70860,Phil Vassar,In A Real Love,38.0,20.0,2005-01-12,,Pop,
70872,Teena Marie,A Rose By Any Other Name,97.0,2.0,2005-01-12,"May 11, 2004",R&;B,Gerald Levert
70875,Mannie Fresh,Real Big,79.0,12.0,2005-01-12,"December 21, 2004",Rap,
70955,"Juvenile, Wacko, Skip",Nolia Clap,31.0,20.0,2005-01-05,,Pop,
70965,"Brooks, Dunn",That's What It's All About,38.0,20.0,2005-01-05,,Country,
71047,Crime Mob,Knuck If You Buck,76.0,20.0,2004-12-29,"August 3, 2004",Rap,Lil Scrappy
71050,Green Day,American Idiot,61.0,20.0,2004-12-29,"August 31, 2004","West Coast,Pop-Punk,Pop-Rock,Alternative Rock,Punk Rock,Rock",
71058,Anita Baker,You're My Everything,74.0,20.0,2004-12-29,"September 7, 2004","R&;B,Soul,Jazz,Soul Jazz,Soul Pop,Pop",
71103,Alicia Keys,Diary,8.0,28.0,2004-12-22,"June 29, 2004","R&;B,Rap",Tony! Toni! Tone!
71145,Xzibit,Hey Now,93.0,4.0,2004-12-22,"November 16, 2004",Rap,Keri Hilson
71148,George Strait,I Hate Everything,35.0,20.0,2004-12-22,"July 5, 2004","Country,Rock",
71149,John Legend,Used To Love U,74.0,13.0,2004-12-22,"August 31, 2004","Neo Soul,Soul,Soul Pop,Producer,R&;B",
71151,Prince,Call My Name,75.0,18.0,2004-12-22,"March 27, 2004","Pop,R&;B",
71211,The Black Eyed Peas,Let's Get It Started,21.0,20.0,2004-12-15,,"Hip-Hop,Rap",
71216,Sara Evans,Suds In The Bucket,33.0,20.0,2004-12-15,,Country,
71240,"R. Kelly, Jay",Big Chips,39.0,9.0,2004-12-15,,Pop,
71287,Akon,Locked Up,8.0,27.0,2004-12-08,"July 29, 2009","R&;B,Rap",Styles P.
71331,Mase,"Breathe, Stretch, Shake",28.0,16.0,2004-12-08,"August 24, 2004",Rap,P. Diddy
71335,Nas,Bridging The Gap,94.0,4.0,2004-12-08,"October 5, 2004",Rap,Olu Dara
71375,Hoobastank,The Reason,2.0,38.0,2004-12-01,"December 9, 2003","Alternative Rock,Soundtrack,Pop,Pop-Rock,Rock",
71377,Alicia Keys,If I Ain't Got You,4.0,40.0,2004-12-01,"February 17, 2004",R&;B,
71381,Maroon 5,This Love,5.0,43.0,2004-12-01,"June 25, 2002","Adult Alternative,Adult Contemporary,Pop-Rock,Rock,Pop",
71392,Nelly,My Place,4.0,20.0,2004-12-01,"July 16, 2004","Pop,Soul Pop,Soul,Hip-Hop,R&;B,Rap",Jaheim
71398,Linkin Park,Breaking The Habit,20.0,20.0,2004-12-01,"March 25, 2003","Alternative Rock,Rock",
71424,Toby Keith,Stays In Mexico,51.0,15.0,2004-12-01,,Country,
71427,Duran Duran,Sunrise,89.0,5.0,2004-12-01,"October 4, 2004","Pop,Synth-Pop,New Wave",
71489,Keith Urban,Days Go By,31.0,19.0,2004-11-24,"June 29, 2004",Country,
71506,Jadakiss,Why?,11.0,20.0,2004-11-24,"June 22, 2004",Rap,Anthony Hamilton
71518,Gretchen Wilson,Here For The Party,39.0,17.0,2004-11-24,"July 1, 2004",Country,
71563,Ashlee Simpson,Pieces Of Me,5.0,21.0,2004-11-17,"June 29, 2004","Pop,Pop-Rock",
71564,Lil' Flip,Sunshine,2.0,23.0,2004-11-17,,Pop,Lea
71583,LL Cool J,Headsprung,16.0,20.0,2004-11-17,"June 7, 2004",Rap,
71598,Beenie Man,King Of The Dancehall,80.0,12.0,2004-11-17,"July 13, 2004","Pop,Reggae,Jamaica,Rap,Dancehall",
71601,Vanessa Carlton,White Houses,86.0,6.0,2004-11-17,"August 30, 2004",Pop,
71607,New Edition,Hot 2Nite,87.0,12.0,2004-11-17,"November 9, 2004",R&;B,
71608,Joe Nichols,If Nobody Believed In You,68.0,14.0,2004-11-17,"March 22, 2004",Country,
71609,R. Kelly,U Saved Me,52.0,16.0,2004-11-17,"August 24, 2004","Gospel,Soul,Soul Pop,Pop,R&;B",
71656,Usher,Yeah!,1.0,45.0,2004-11-10,"January 27, 2004","Dirty South,Hip-Hop,Rap,Crunk,R&;B,Producer","Lil Jon, Ludacris"
71657,Christina Milian,Dip It Low,5.0,30.0,2004-11-10,"April 7, 2004","R&;B,Rap",
71687,Ashlee Simpson,Shadow,57.0,7.0,2004-11-10,"November 8, 2004","Pop,Pop-Rock",
71693,Andy Griggs,She Thinks She Needs Me,43.0,16.0,2004-11-10,,Country,
71694,The Game,Westside Story,93.0,4.0,2004-11-10,"September 7, 2004",Rap,50 Cent
71696,Nelly,Flap Your Wings,52.0,11.0,2004-11-10,"July 17, 2004","Hip-Hop,Rap",
71701,Rascal Flatts,Feels Like Today,56.0,13.0,2004-11-10,,Country,
71779,Counting Crows,Accidentally In Love,39.0,20.0,2004-11-03,"May 11, 2004","Screen,Soundtrack,Pop-Rock,Alternative Rock,Rock",
71791,Franz Ferdinand,Take Me Out,66.0,19.0,2004-11-03,"January 12, 2004","Post-Punk Revival,Rock,UK,Indie Rock",
71794,T.I.,Let's Get Away,35.0,18.0,2004-11-03,"June 29, 2004",Rap,
71848,Houston,I Like That,11.0,20.0,2004-10-27,,Pop,"Chingy, Nate Dogg, I"
71886,Alan Jackson,Too Much Of A Good Thing,46.0,13.0,2004-10-27,"June 21, 2004",Country,
71927,Nina Sky,Move Ya Body,4.0,26.0,2004-10-20,"April 27, 2004","Dancehall,Pop",Jabba
71930,JoJo,Leave,12.0,29.0,2004-10-20,"February 24, 2004","R&;B,Rock",
71934,Kanye West,Jesus Walks,11.0,25.0,2004-10-20,"February 10, 2004","Gospel,Conscious Hip-Hop,Christian,Rap",
71961,Kenny Chesney,I Go Back,32.0,20.0,2004-10-20,"February 3, 2004","Country,Rock",
72025,Usher,Confessions Part II,1.0,25.0,2004-10-13,"March 23, 2004","Neo Soul,Soul Pop,Soul,R&;B",
72040,Monica,U Should've Known Better,19.0,20.0,2004-10-13,"May 18, 2004","Soul,R&;B,Pop",
72055,Terri Clark,Girls Lie Too,36.0,15.0,2004-10-13,"April 19, 2004",Country,
72064,Twista,So Sexy,25.0,17.0,2004-10-13,"January 27, 2004",Rap,R. Kelly
72067,Nickelback,Feelin' Way Too Damn Good,48.0,16.0,2004-10-13,"March 21, 2004",Rock,
72068,Brad Paisley,Whiskey Lullaby,41.0,18.0,2004-10-13,"March 29, 2004",Country,Alison Krauss
72121,Switchfoot,Meant To Live,18.0,28.0,2004-10-06,"February 25, 2003","Christian Rock,Christian,Post-Grunge,Alternative,Alternative Rock,Rock",
72156,Christina Aguilera,Car Wash,63.0,5.0,2004-10-06,"August 29, 2004","Cover,Soundtrack,Pop",Missy Elliott
72158,Teena Marie,Still In Love,70.0,20.0,2004-10-06,,Pop,Baby
72160,3 Doors Down,Away From The Sun,62.0,15.0,2004-10-06,,Rock,
72163,Modest Mouse,Float On,68.0,20.0,2004-10-06,"November 15, 2003","Adult Alternative,Alternative Rock,Rock",
72164,Christina Milian,Whatever U Want,,,2004-10-06,"September 21, 2004","Rap,R&;B,Pop",Joe Budden
72238,Young Buck,Let Me In,34.0,11.0,2004-09-29,"July 2, 2004",Rap,
72255,Josh Gracin,I Want To Live,45.0,14.0,2004-09-29,"March 1, 2004",Country,
72256,Julie Roberts,Break Down Here,81.0,12.0,2004-09-29,"February 24, 2004",Pop,
72307,A,Freek,7.0,39.0,2004-09-22,"January 29, 2012","Electronic,Rap",
72338,Velvet Revolver,Slither,56.0,20.0,2004-09-22,"May 24, 2004",Rock,
72343,"Big, Rich",Save A Horse,56.0,9.0,2004-09-22,"January 1, 2014",Country,
72351,Yellowcard,Ocean Avenue,37.0,20.0,2004-09-22,"February 24, 2004","Pop-Punk,Rock",
72433,D12,How Come,27.0,12.0,2004-09-15,"April 27, 2004",Rap,
72445,Brandy,Who Is She 2 U,85.0,4.0,2004-09-15,"July 27, 2004","Pop,R&;B",
72536,Toby Keith,Whiskey Girl,31.0,20.0,2004-09-08,,"Country,Rock",
72537,Fantasia,I Believe,1.0,10.0,2004-09-08,,R&;B,
72539,Mynt,How Did You Know?,97.0,2.0,2004-09-08,,Pop,Kim Sozzi
72609,Pitbull,Culo,32.0,20.0,2004-09-01,"July 6, 2004","Reggaeton,Dancehall,Rap",Lil Jon
72621,Britney Spears,Outrageous,79.0,4.0,2004-09-01,"July 20, 2004","R&;B,Pop",
72631,Mis,Scandalous,35.0,16.0,2004-09-01,"March 17, 2003",Rock,
72711,Montgomery Gentry,If You Ever Stop Loving Me,30.0,20.0,2004-08-25,,Pop,
72717,Martina McBride,How Far,68.0,8.0,2004-08-25,"September 30, 2003",Country,
72718,Mobb Deep,Got It Twisted,64.0,20.0,2004-08-25,"March 30, 2004","East Coast,Rap",
72725,Lionel Richie,Just For You,92.0,17.0,2004-08-25,"May 4, 2004",Rock,
72726,Lenny Kravitz,Storm,,,2004-08-25,"May 17, 2004","Hip-Hop,Neo Soul,Soul,R&;B,Rap,Rock",Jay
72727,"Jimmy Buffett With Clint Black, Kenny Chesney, Alan Jackson, Toby Keith &",Hey Good Lookin',63.0,11.0,2004-08-25,,Country,
72773,Beyonce,Naughty Girl,3.0,22.0,2004-08-18,"March 14, 2004","R&;B,Pop",
72788,Gretchen Wilson,Redneck Woman,22.0,20.0,2004-08-18,"March 23, 2004",Country,
72809,R. Kelly,Happy People,19.0,20.0,2004-08-18,"August 24, 2004","Soul,Soul Pop,Pop,R&;B",
72815,Lonestar,Let's Be Us Again,38.0,20.0,2004-08-18,,Country,
72818,Elephant Man,Jook Gal,57.0,18.0,2004-08-18,,Pop,
72819,Linkin Park,Lying From You,58.0,18.0,2004-08-18,"March 25, 2003","Alternative Rock,Rap,Nu-Metal,Rock",
72865,Evanescence,My Immortal,7.0,32.0,2004-08-11,"March 4, 2003","Acoustic,Piano,Baroque Pop,Adult Contemporary,Pop-Rock,Ballad,Rock",
72869,3 Doors Down,Here Without You,5.0,51.0,2004-08-11,"November 12, 2002","Post-Grunge,Rock",
72874,Avril Lavigne,Don't Tell Me,22.0,20.0,2004-08-11,"March 1, 2004","Pop,Alternative Rock,Post-Grunge,Canada,Rock",
72908,Jet,Cold Hard Bitch,55.0,20.0,2004-08-11,"March 2, 2004","Alternative Rock,Hard Rock,Rock",
72910,Brandy,Talk About Our Love,36.0,14.0,2004-08-11,"March 24, 2004","R&;B,Rap",Kanye West
72953,Twista,Overnight Celebrity,6.0,20.0,2004-08-04,"January 27, 2004","Gaming,Rap",
72961,J,Tipsy,2.0,30.0,2004-08-04,"February 10, 2004","Hip-Hop,Rap",
73009,Kimberley Locke,8th World Wonder,49.0,20.0,2004-08-04,"March 16, 2004",Pop,
73053,Beenie Man,Dude,26.0,26.0,2004-07-28,,"Jamaica,Dancehall,Rap",Ms. Thing
73085,John Michael Montgomery,Letters From Home,24.0,20.0,2004-07-28,"February 2, 2004",Country,
73101,Check It Out,Ch,68.0,12.0,2004-07-28,,Rap,
73104,Ludacris,Diamond In The Back,94.0,3.0,2004-07-28,"October 7, 2003",Rap,
73150,Kanye West,All Falls Down,7.0,20.0,2004-07-21,"February 10, 2004","Acoustic,R&;B,Hip-Hop,Producer,Rap",Syleena Johnson
73183,Lil' Flip,Game Over,15.0,20.0,2004-07-21,"February 13, 2004",Rap,
73185,Avant,Don't Take Your Love Away,37.0,20.0,2004-07-21,"December 9, 2003",R&;B,
73186,JAY,99 Problems,30.0,12.0,2004-07-21,"November 4, 2003","Rap Rock,Rock,East Coast,Hip-Hop,Rap",
73199,Cassidy,Get No Better,79.0,12.0,2004-07-21,,Pop,Mashonda
73246,JAY,Dirt Off Your Shoulder,5.0,26.0,2004-07-14,"March 2, 2003","Hip-Hop,East Coast,Rap",
73283,Jessica Simpson,Take My Breath Away,20.0,16.0,2004-07-14,"March 2, 2004","Cover,Pop",
73284,Yung Wun,Tear It Up,76.0,13.0,2004-07-14,"April 6, 2004",Rap,"DMX, Lil' Flip, David Banner"
73287,Tracy Lawrence,Paint Me A Birmingham,42.0,16.0,2004-07-14,"October 13, 2003",Country,
73289,D12,My Band,6.0,18.0,2004-07-14,"March 14, 2004","Memes,SHADYXV,Rap",
73294,Musiq,whoknows,65.0,13.0,2004-07-14,"January 12, 2004","Soul,Soul Pop,Neo Soul,R&;B",
73340,Five For Fighting,100 Years,28.0,22.0,2004-07-07,"November 24, 2003","Pop,Ballad,Piano,Rock",
73369,"Brooks, Dunn",That's What She Gets For Loving Me,53.0,14.0,2004-07-07,"February 9, 2004",Country,
73373,Seal,Love's Divine,79.0,20.0,2004-07-07,"May 8, 2003",Rock,
73388,Josh Groban,You Raise Me Up,73.0,17.0,2004-07-07,"November 11, 2003","Adult Contemporary,Easy Listening,Gospel,Cover,Pop,Ballad",
73443,"Kenny Chesney, Uncle Kracker",When The Sun Goes Down,26.0,20.0,2004-06-30,"February 2, 2004","Country,News",
73452,Rascal Flatts,Mayberry,21.0,20.0,2004-06-30,"October 29, 2002",Country,
73473,Lenny Kravitz,Where Are We Runnin'?,69.0,6.0,2004-06-30,,Rock,
73475,SHeDAISY,Passenger Seat,66.0,8.0,2004-06-30,,Pop,
73476,Maria Mena,You're The Only One,86.0,4.0,2004-06-30,"March 4, 2004",Pop,
73478,Clay Walker,I Can't Sleep,61.0,7.0,2004-06-30,"January 5, 2004",Country,
73530,Sheryl Crow,The First Cut Is The Deepest,14.0,36.0,2004-06-23,"October 20, 2003","Pop-Rock,Pop,Country,Rock",
73531,Dido,White Flag,18.0,41.0,2004-06-23,"September 1, 2003","Trip-Hop,Pop,Rock",
73547,Keith Urban,You'll Think Of Me,24.0,20.0,2004-06-23,"January 6, 2004",Country,
73575,Coo Chee,Coo,,,2004-06-23,,Rap,
73577,George Strait,Desperately,44.0,14.0,2004-06-23,,"Country,Rock",
73578,Dilated Peoples,This Way,78.0,5.0,2004-06-23,"April 6, 2004",Rap,Kanye West
73621,OutKast,The Way You Move,1.0,39.0,2004-06-16,"September 23, 2003","Atlanta,Dirty South,Hip-Hop,Funk,R&;B,Soul,Soul Pop,Pop,Rap",Sleepy Brown
73624,Sean Paul,I'm Still In Love With You,14.0,25.0,2004-06-16,"February 17, 2004","Jamaica,Reggae,Dancehall,Rap",Sasha
73662,Buddy Jewell,Sweet Southern Comfort,40.0,20.0,2004-06-16,"October 27, 2003",Country,
73668,Emerson Drive,Last One Standing,89.0,8.0,2004-06-16,,Country,
73669,Sugababes,Hole In The Head,96.0,2.0,2004-06-16,"October 13, 2003",Pop,
73671,Shania Twain,It Only Hurts When I'm Breathing,71.0,7.0,2004-06-16,"February 9, 2004","Country,Rock",
73673,A Perfect Circle,The Outsider,79.0,5.0,2004-06-16,"September 16, 2003","Alternative Metal,Alternative,Alternative Rock,Rock",
73761,Joe,Ride Wit U,56.0,14.0,2004-06-09,,Pop,G
73767,Nickelback,Figured You Out,65.0,19.0,2004-06-09,"December 2, 2003","Alternative Rock,Rock",
73768,G,Wanna Get To Know You,15.0,18.0,2004-06-09,"November 14, 2003",Rap,
73811,Jet,Are You Gonna Be My Girl,29.0,25.0,2004-06-02,"August 25, 2003","Alternative Rock,Pop-Rock,Rock",
73856,Janet Jackson,I Want You,57.0,10.0,2004-06-02,"March 30, 2004","R&;B,Pop",
73859,Lostprophets,Last Train Home,75.0,6.0,2004-06-02,"January 26, 2004",Rock,
73999,Ludacris,Splash Waterfalls,6.0,21.0,2004-05-19,"October 7, 2003",Rap,
74006,OutKast,Hey Ya!,1.0,32.0,2004-05-19,"September 9, 2003","Alternative,Alternative Rock,Hip-Hop,Dirty South,Psychedelic,Soul Pop,R&;B,Alternative Pop,Pop,Electronic,Soul,Rap",
74043,T.I.,Rubber Band Man,30.0,20.0,2004-05-19,"December 30, 2003",Rap,
74052,Clay Aiken,Solitaire,4.0,8.0,2004-05-19,,Pop,
74053,Hilary Duff,Come Clean,35.0,13.0,2004-05-19,"August 26, 2003","Pop-Rock,Pop",
74114,Ruben Studdard,Sorry 2004,9.0,20.0,2004-05-12,"December 12, 2003","Soul,R&;B,Rap",
74135,Carolyn Dawn Johnson,Simple Life,73.0,5.0,2004-05-12,,Pop,
74136,Incubus,Megalomaniac,55.0,20.0,2004-05-12,"February 3, 2004","Alternative Metal,Alternative Rock,Rock",
74147,Blue County,Good Little Girls,63.0,7.0,2004-05-12,"January 1, 2004",Country,
74150,Sleepy Brown,I Can't Wait,40.0,13.0,2004-05-12,"February 3, 2004","Dirty South,Soundtrack,Soul,Funk,R&;B,Rap",OutKast
74151,Limp Bizkit,Behind Blue Eyes,71.0,11.0,2004-05-12,"September 23, 2003","Cover,Rock",
74194,Ying Yang Twins,Salt Shaker,9.0,26.0,2004-05-05,"September 16, 2003","Hardcore Hip-Hop,Dirty South,Crunk,Rap","Lil Jon, The East Side Boyz"
74196,No Doubt,It's My Life,10.0,28.0,2004-05-05,"October 30, 2003","Cover,New Wave,Pop,Pop-Rock,Alternative Rock,Rock",
74214,Toby Keith,American Soldier,28.0,20.0,2004-05-05,,"Country,Rock",
74235,Gary Allan,Songs About Rain,71.0,10.0,2004-05-05,,Country,
74240,Train,When I Look To The Sky,74.0,14.0,2004-05-05,,Rock,
74243,Fuel,Falls On Me,52.0,14.0,2004-05-05,"July 22, 2003",Pop,
