,Artist,Name,Weekly_rank_avg,Peak_Position,Weeks_on_Chart,Genre
165,A Boogie Wit da Hoodie,SWERVIN,94.41666666666667,38.0,20.0,"Trap,Rap"
166,"SZA, The Weeknd, Travis Scott",POWER IS POWER,65.07692307692308,90.0,2.0,"Hip-Hop,Canada,Soundtrack,Rap,Pop"
167,"Lil Peep, iLoveMakonnen",I'VE BEEN WAITING,66.78947368421052,62.0,9.0,"Hip-Hop,Alternative,Alternative Rock,Emo Rap,Emo,Rap"
168,"Anuel AA, Karol G",SECRETO,29.958333333333332,68.0,11.0,"Puerto Rico,Pop,Reggaeton,En Espa\xc3\xb1ol,Latin Music,Latin Urban"
169,Ski Mask The Slump God,FAUCET FAILURE,17.74074074074074,87.0,11.0,"Hip-Hop,Afro Trap,Trap,Rap"
170,5 Seconds Of Summer,YOUNGBLOOD,96.75,7.0,48.0,"New Wave,Pop,Synth-Pop,Electro-Pop,Alternative Pop,Australia,Pop-Rock,Rock"
171,ScHoolboy Q,FLOATING,83.42857142857143,,,"Rap,Gangsta Rap,Hip-Hop,Trap,West Coast"
172,ScHoolboy Q + Travis Scott,CHOPSTIX,19.555555555555557,,,"Rap,Hip-Hop,West Coast,Trap"
173,"Marshmello, Tyga, Chris Brown",LIGHT IT UP,93.36363636363636,,,"R&;B,West Coast,Electro House,Electro,Electronic,Rap"
174,ScHoolboy Q,NUMB NUMB JUICE,88.0,55.0,2.0,"Rap,Gangsta Rap,Hip-Hop,Trap,West Coast"
175,P!nk,LOVE ME ANYWAY,40.2,,,Pop
176,BLACKPINK,KILL THIS LOVE,77.15384615384616,41.0,4.0,"Trap,Dance,Rap,Girl Group,Pop,Korean,K-Pop (\xec\xbc\x80\xec\x9d\xb4\xed\x8c\x9d)"
177,Post Malone,BETTER NOW,66.94736842105263,3.0,52.0,"R&;B,Pop"
178,Imagine Dragons,BAD LIAR,84.0,56.0,9.0,"Rock,Adult Alternative,Ballad,Alternative Rock,Alternative,Pop-Rock,Indie Rock,Alternative Pop,Indie Pop,Pop"
179,French Montana,SLIDE,17.0,,,"Trap,Hip-Hop,East Coast,West Coast,Rap"
180,"Khalid, Kane Brown",SATURDAY NIGHTS,12.266666666666667,57.0,12.0,"Remix,Country,R&;B,Pop"
181,Lil Baby,PURE COCAINE,87.0,46.0,16.0,"Motown,Trap,Rap"
182,Scotty McCreery,THIS IS IT,67.11111111111111,42.0,20.0,Country
183,Billie Eilish,MY STRANGE ADDICTION,21.782608695652176,43.0,4.0,"Alternative Pop,Alternative,Pop"
184,Alec Benjamin,LET ME DOWN SLOWLY,79.0,79.0,9.0,"Pop,Remix"
185,Billie Eilish,XANNY,62.72093023255814,35.0,4.0,"Indie,Alternative,Alternative Pop,Art Rock,Glam Rock,Indie Pop,Pop"
186,Michael Ray,ONE THAT GOT AWAY,50.0,67.0,9.0,Country
187,Bad Bunny,MIA,81.25,5.0,27.0,"Latin Urban,Reggaeton,Pop,Puerto Rico,Canada,Trap,R&;B,Rap,Latin Music,Latin Trap,En Espa\xc3\xb1ol"
188,Dan + Shay,TEQUILA,18.085106382978722,21.0,50.0,Country
189,Cardi B,MONEY,77.3157894736842,13.0,26.0,"Hip-Hop,Trap,Rap"
190,Five Finger Death Punch,BLUE ON BLACK,60.45,,,Rock
191,Nipsey Hussle,DOUBLE UP,77.77777777777777,65.0,3.0,"West Coast,Rap"
192,FLETCHER,UNDRUNK,50.0,61.0,6.0,Pop
193,Nipsey Hussle,LAST TIME THAT I CHECC'D,83.4,76.0,3.0,"West Coast,Rap"
194,Riley Green,THERE WAS THIS GIRL,87.0,70.0,8.0,Country
195,Khalid,MY BAD,77.0,55.0,3.0,R&;B
196,"Ariana Grande, Victoria Monet",MONOPOLY,60.86666666666667,69.0,2.0,"R&;B,Pop"
197,"Khalid, SAFE",DON'T PRETEND,37.0,,,"R&;B,Pop"
198,Khalid,BAD LUCK,88.6,,,Pop
199,Billie Eilish,ALL THE GOOD GIRLS GO TO HELL,78.0,46.0,2.0,"Alternative Pop,Alternative,Trip-Hop,Soul Pop,Electro-Pop,Electronic,Pop"
200,Khalid,RIGHT BACK,26.05,,,Pop
201,Aventura,INMORTAL,12.954545454545455,,,"Dominican Republic,Latin Music,En Espa\xc3\xb1ol,Bachata,Pop"
202,Nipsey Hussle,DEDICATION,60.45,93.0,2.0,"West Coast,Rap"
203,Nipsey Hussle,VICTORY LAP,57.7,,,"West Coast,Rap"
204,Kodak Black,ZEZE,94.0,2.0,25.0,"East Coast,Motown,Memes,Trap,Rap"
205,Billie Eilish,I LOVE YOU,97.33333333333333,,,"Indie Pop,Alternative,Alternative Pop,R&;B,Folk,Indie,Ballad,Acoustic,Pop"
206,Billie Eilish,ILOMILO,77.0,,,"Chillhop,Indie Pop,Alternative Pop,Dance-Pop,Pop"
207,Billie Eilish,LISTEN BEFORE I GO,97.0,,,"Soul Pop,Ballad,Bedroom Pop,Alternative,Alternative Pop,Pop"
208,Billie Eilish,8,49.583333333333336,,,"Alternative,YouTube,Singer-Songwriter,Alternative Pop,Pop"
209,City Girls,TWERK,95.5,29.0,13.0,"East Coast,Motown,Trap,Rap"
210,"Billie Eilish, Khalid",LOVELY,11.666666666666666,64.0,22.0,"Pop,Soul,Ballad,Alternative"
211,"benny blanco, Tainy, Selena Gomez, J Balvin",I CAN'T GET ENOUGH,64.5,66.0,5.0,"Colombia,Electronic Pop,Electro,Electro-Pop,Electronic,Reggaeton,En Espa\xc3\xb1ol,Latin Urban,Latin Music,Latin Pop,Pop"
212,Chris Stapleton,MILLIONAIRE,91.125,47.0,17.0,Country
213,Jason Aldean,GIRL LIKE YOU,25.633333333333333,46.0,19.0,Country
214,"Cardi B, Bad Bunny, J Balvin",I LIKE IT,74.57142857142857,1.0,51.0,"Trap,Latin Music,En Espa\xc3\xb1ol,Latin Trap,Rap"
215,Juice WRLD,LUCID DREAMS,48.4375,2.0,46.0,"Hip-Hop,Emo,Memes,Alternative Pop,Cloud Rap,Emo Rap,Trap,Rap"
216,DJ Snake,TAKI TAKI,49.0,11.0,26.0,"Rap,French Pop,France,Latin Urban,Reggaeton,En Espa\xc3\xb1ol,Latin Music,Pop"
217,Jake Owen,DOWN TO THE HONKYTONK,71.72727272727273,65.0,13.0,Country
218,NAV,PRICE ON MY HEAD,94.6,,,"Cloud Rap,Trap,R&;B,Canada,Rap"
219,Logic,CONFESSIONS OF A DANGEROUS MIND,42.6,,,"Hip-Hop,Boom Bap,DMV,East Coast,Rap"
220,Jordan Davis,TAKE IT FROM ME,64.0,46.0,13.0,Country
221,Rich The Kid,SPLASHIN,82.0,80.0,5.0,Rap
222,Lil Skies,I,75.53846153846153,39.0,4.0,"Trap,Cloud Rap,Rap"
223,Juice WRLD,HEAR ME CALLING,59.85,38.0,4.0,"Cloud Rap,Trap,Dancehall,Afrobeats,Rap"
224,Chris Brown,UNDECIDED,51.0,35.0,12.0,"Tropical House,Pop,R&;B"
225,Kodak Black,CALLING MY SPIRIT,28.372881355932204,46.0,17.0,"Trap,Hip-Hop,R&;B,Rap"
226,Bebe Rexha,LAST HURRAH,40.12,,,"UK,Pop"
227,Juice WRLD,EMPTY,78.52631578947368,41.0,3.0,"Emo Rap,Trap,Rap"
228,Carrie Underwood,LOVE WINS,26.047619047619047,83.0,10.0,Country
229,Iggy Azalea,SALLY WALKER,76.77777777777777,,,"Dance,Hip-Hop,Aussie Hip-Hop,Australia,Trap,Rap"
230,"Anuel AA, Romeo Santos",ELLA QUIERE BEBER,66.75,61.0,20.0,"Puerto Rico,Dancehall,Latin Urban,Latin Trap,Latin Pop,Latin Music,En Espa\xc3\xb1ol,Pop"
231,Juice WRLD,FAST,15.181818181818182,47.0,2.0,"Cloud Rap,Emo Rap,Trap,Rap"
232,Joji,SLOW DANCING IN THE DARK,52.6,,,"Soul,Soul Pop,Lo-Fi,Ballad,Pop,R&;B"
233,"Gucci Mane, Bruno Mars, Kodak Black",WAKE UP IN THE SKY,60.5,11.0,26.0,"Island Music,R&;B,Trap,Pop,Rap"
234,Juice WRLD,MAZE,72.125,,,"Emo Rap,Trap,Rap"
235,Luke Bryan,WHAT MAKES YOU COUNTRY,48.75,54.0,11.0,Country
236,Juice WRLD,FLAWS AND SINS,69.0,,,"Emo Rap,Trap,Rap"
237,Kehlani,NIGHTS LIKE THIS,77.14285714285714,67.0,9.0,"West Coast,R&;B"
238,Lady Gaga,ALWAYS REMEMBER US THIS WAY,47.88235294117647,41.0,9.0,"TV,Musicals,Soundtrack,Pop"
239,Flipp Dinero,LEAVE ME ALONE,33.0,20.0,25.0,Rap
240,Sheck Wes,MO BAMBA,29.61904761904762,6.0,28.0,"Hip-Hop,NBA,East Coast,Memes,Basketball,Trap,Rap"
241,Midland,BURN OUT,51.2,63.0,9.0,Country
