,Artist,Name,Genre,Weekly_rank_avg,Peak_Position,Weeks_on_Chart,grammy_win
95,"OZUNA, DADDY YANKEE, J BALVIN, FARRUKO, ANUEL AA",BAILA BAILA BAILA,"LATIN POP,REGGAETON,REMIX,PUERTO RICO,EN ESPA\XC3\XB1OL,LATIN URBAN,LATIN MUSIC,POP",0.2620427881297447,0.693877551020408,0.0823529411764705,0.0
96,MEGAN THEE STALLION,CASH SHIT,"EAST COAST,RAP",0.6832298136645963,0.4530612244897959,0.1270588235294117,0.0
97,DRAKE,OMERTA,"HIP-HOP,BASKETBALL,NBA,CANADA,RAP",1.0,0.346938775510204,0.0,0.0
98,MARTIN GARRIX,SUMMER DAYS,"ELECTRONIC POP,ELECTRO,ELECTRO HOUSE,NEDERLAND,ELECTRONIC,ELECTRO-POP,RAP,ELECTRONIC TRAP,TROPICAL HOUSE,DANCE-POP,POP",0.7360248447204969,0.3836734693877551,0.1317647058823529,0.0
99,BILLIE EILISH,WHEN THE PARTY'S OVER,"R&;B,AMBIENT,ART POP,INDIE POP,BALLAD,POP",0.6304347826086957,0.2857142857142857,0.3529411764705882,0.0
100,CALBOY,ENVY ME,RAP,0.0602484472049689,0.3061224489795918,0.2941176470588235,0.0
101,KELSEA BALLERINI,MISS ME MORE,COUNTRY,0.575125702454895,0.4693877551020408,0.2117647058823529,0.0
102,DREAMVILLE,DOWN BAD,"EAST COAST,ATLANTA,RAP",0.8926501035196688,0.2326530612244897,0.3105882352941176,0.0
103,JOJI,SANCTUARY,"SYNTH-POP,ALTERNATIVE R&;B,POP,BALLAD,ELECTRONIC",0.7175465838509317,0.346938775510204,0.1717647058823529,0.0
104,MARSHMELLO,RESCUE ME,"EDM,POP-PUNK,ELECTRONIC,POP",0.6450549450549451,0.4795918367346938,0.1294117647058823,0.0
105,"NICKY JAM, OZUNA",TE ROBARE,"REGGAETON,PUERTO RICO,LATIN URBAN,LATIN MUSIC,LATIN POP,EN ESPA\XC3\XB1OL,POP",0.8416149068322982,0.9183673469387754,0.0470588235294117,0.0
106,JUICE WRLD,ROBBERY,"TRAP,EMO RAP,EMO,RAP",0.6480331262939959,0.2653061224489795,0.188235294117647,0.0
107,NIPSEY HUSSLE,RACKS IN THE MIDDLE,RAP,0.9366459627329192,0.2551020408163265,0.1058823529411764,0.0
108,LUKE COMBS,BEAUTIFUL CRAZY,COUNTRY,0.5998692383131743,0.2040816326530612,0.3411764705882353,0.0
109,LIL BABY,CLOSE FRIENDS,"ATLANTA,MOTOWN,TRAP,RAP",0.2282743721307049,0.2755102040816326,0.3647058823529412,0.0
110,BILLIE EILISH,BURY A FRIEND,"TRAP,ALTERNATIVE,DARK POP,INDUSTRIAL,ALTERNATIVE POP,ELECTRONICA,POP",0.7036438923395446,0.1326530612244897,0.2117647058823529,0.0
111,LUKE COMBS,EVEN THOUGH I'M LEAVING,COUNTRY,0.831055900621118,0.673469387755102,0.1364705882352941,0.0
112,YO GOTTI,PUT A DATE ON IT,RAP,0.8838509316770187,0.4591836734693877,0.2117647058823529,0.0
113,AVICII,HEAVEN,"ELECTRO,EDM,ELECTRO-POP,DANCE,DANCE-POP,ELECTRONIC,SCANDIPOP,SCANDINAVIA,SVERIGE,POP",0.1993518768566027,0.4183673469387754,0.1811764705882352,0.0
114,FUTURE,PLEASE TELL ME,"R&;B,TRAP,ATLANTA,RAP",0.8944099378881988,0.2326530612244897,0.3105882352941176,0.0
115,CODY JOHNSON,ON MY WAY TO YOU,COUNTRY,0.3475645635828702,0.7857142857142856,0.1647058823529411,0.0
116,OZUNA,AMOR GENUINO,"LATIN POP,EN ESPA\XC3\XB1OL,POP,PUERTO RICO,LATIN MUSIC",0.4345652173913044,0.4285714285714285,0.1105882352941176,0.0
117,FUTURE,XANAX DAMAGE,"ALTERNATIVE R&;B,R&;B,ATLANTA,RAP",0.5315640880858272,0.2857142857142857,0.1505882352941176,0.0
118,FUTURE,GOVERNMENT OFFICIAL,"ATLANTA,TRAP,RAP",0.3462215320910973,0.4551020408163264,0.1388235294117647,0.0
119,MILEY CYRUS,MOTHER'S DAUGHTER,"R&;B,LGBTQ+,FEMINISM,POP",0.5649689440993789,0.5163265306122449,0.1247058823529411,0.0
120,YNW MELLY,MURDER ON MY MIND,"HIP-HOP,RAP",0.9683229813664598,0.1326530612244897,0.2117647058823529,0.0
121,NF,THE SEARCH,"HIP-HOP,CONSCIOUS HIP-HOP,RAP",0.3498088867654085,0.4551020408163264,0.1388235294117647,0.0
122,JOYNER LUCAS,ISIS,"TRAP,HIP-HOP,EAST COAST,DMV,RAP",0.1695341614906832,0.5918367346938775,0.0,0.0
123,LOGIC,HOMICIDE,"TRAP,HIP-HOP,DMV,RAP",0.4851574212893553,0.0408163265306122,0.0352941176470588,0.0
124,TRIPPIE REDD,UNDER ENEMY ARMS,RAP,0.5121739130434783,0.2346938775510204,0.1505882352941176,0.0
125,JON PARDI,NIGHT SHIFT,COUNTRY,0.7870600414078675,0.5612244897959183,0.1647058823529411,0.0
126,21 SAVAGE,A LOT,"EAST COAST,TRAP,RAP",0.2540062111801243,0.1122448979591836,0.2470588235294117,0.0
127,BLUEFACE,THOTIANA,"TRAP,HIP-HOP,WEST COAST,EAST COAST,REMIX,RAP",0.7069875776397516,0.0714285714285714,0.2117647058823529,0.0
128,DJ KHALED,HIGHER,"NEO SOUL,WEST COAST,RAP",0.7313319530710836,0.2040816326530612,0.0,0.0
129,THE CHAINSMOKERS,WHO DO YOU LOVE,"FUTURE BASS,DANCE-POP,DANCE,AUSTRALIA,POP",0.9366459627329192,0.520408163265306,0.1647058823529411,0.0
130,MABEL,DON'T CALL ME UP,"R&;B,UK,POP",0.8732919254658386,0.6632653061224489,0.0941176470588235,0.0
131,LIL DICKY,EARTH,"MEMES,CHARITY,R&;B,CONSCIOUS HIP-HOP,COMEDY,SATIRE,AFROBEATS,UK,CLIMATE CHANGE,POP,HIP-HOP,RAP",0.6024534161490683,0.1632653061224489,0.0470588235294117,0.0
132,LIZZO,JUICE,"ELECTRO-FUNK,FUNK-POP,FUNK,DANCE,DANCE-POP,ALTERNATIVE POP,SYNTH-POP,R&;B",0.8218167701863355,0.9387755102040816,0.0,0.0
133,MALUMA,HP,"COLOMBIA,REGGAETON,LATIN POP,LATIN MUSIC,LATIN URBAN,EN ESPA\XC3\XB1OL,POP",0.9472049689440992,0.5183673469387754,0.1341176470588235,0.0
134,YNW MELLY,MIXED PERSONALITIES,"RAP,TRAP",0.48472049689441,0.4183673469387755,0.188235294117647,0.0
135,BAZZI,PARADISE,POP,0.5940062111801242,0.9183673469387754,0.0117647058823529,0.0
136,JHENE AIKO,TRIGGERED,"WEST COAST,R&;B",0.5596273291925467,0.510204081632653,0.0117647058823529,0.0
137,MAROON 5,GIRLS LIKE YOU,"POP-ROCK,EAST COAST,REMIX,RAP,POP",0.8979296066252587,0.0,0.5882352941176471,0.0
138,"TYLER, THE CREATOR",I THINK,"ELECTRO-FUNK,FUNK,ALTERNATIVE DANCE,NU DISCO,DISCO,NIGERIA,RAP,NEO SOUL,ALTERNATIVE R&;B,R&;B,ALTERNATIVE,EXPERIMENTAL,WEST COAST",0.662111801242236,0.6489795918367347,0.068235294117647,0.0
139,DJ KHALED,CELEBRATE,"TRAP,POP,R&;B",0.6832298136645963,0.4591836734693878,0.0870588235294117,0.0
140,DJ KHALED,JEALOUS,"RAP,R&;B",0.2313043478260869,0.4653061224489795,0.2070588235294118,0.0
141,"TYLER, THE CREATOR",RUNNING OUT OF TIME,"RAP,NEO SOUL,ALTERNATIVE R&;B,R&;B,EXPERIMENTAL,ALTERNATIVE,WEST COAST",0.8112577639751554,0.6408163265306122,0.0729411764705882,0.0
142,"TYLER, THE CREATOR",IGOR'S THEME,"ALTERNATIVE,RAP,EXPERIMENTAL",0.7571428571428572,0.4387755102040816,0.0658823529411764,0.0
143,"TYLER, THE CREATOR",NEW MAGIC WAND,"EXPERIMENTAL,PSYCHEDELIC SOUL,HIP-HOP,RAP,PSYCHEDELIC,ALTERNATIVE",0.5281791435109513,0.3755102040816326,0.1129411764705882,0.0
144,"TYLER, THE CREATOR",A BOY IS A GUN,"RAP,NEO SOUL,ALTERNATIVE R&;B,EXPERIMENTAL,ALTERNATIVE,WEST COAST,ALTERNATIVE POP,R&;B",0.2578527062999113,0.3693877551020407,0.1811764705882353,0.0
